Nama Produk;Kategori;Harga;Jumlah Terjual;Total Penjualan;Rating Produk;Jumlah Ulasan;Favorit;Nama Toko / Seller;Lokasi Toko;Diskon (%);Harga Asli (sebelum diskon);Status Stok;Badge Seller (Official Store, Star Seller, dll);link produk
IP 14 PLUS 128GB 256GB SECOND HAND NO SIM LOCK GARANSI TERPERCAYA;Handphone & Aksesoris;6613000;37;244681000;4.2;5;29;Facai.iphone;Jakarta Barat;27%;9000000;Tersedia;Toko Biasa;https://shopee.co.id/product/371938851/52004339840
iP 12 pro 128GB/256GB ORIGINAL FULLSET BERGARANSI LIKE NEW!;Handphone & Aksesoris;5290000;97;513130000;4.8;27;691;Facai.iphone;Jakarta Barat;49%;10450000;Tersedia;Toko Biasa;https://shopee.co.id/product/371938851/24919837380
Apple 12 Pro Max 128GB/256GB - Garansi 24 bulan;Handphone & Aksesoris;5885000;53;311905000;4.9;18;177;Infinity Gadget ID;Jakarta Barat;55%;13000000;Tersedia;Mall;https://shopee.co.id/product/1731549773/58058122807
"New iP 17 Pro Max HDC Android 11 6.9"" Indonesia 32GB";Handphone & Aksesoris;1560408;56;87382848;4.9;18;149;bull88hp;Jakarta Utara;77%;6781233;Tersedia;Mall;https://shopee.co.id/product/1739453584/53756232192
HP VIVO Y17 RAM 8 ROM 256GB Smartphone 4G LET 6.35 Inches Dual SIM Garansi 2 Tahun;Handphone & Aksesoris;915000;4000;3660000000;4.7;1938;2098;king77.toko;Jakarta Utara;54%;2000000;Tersedia;Toko Biasa;https://shopee.co.id/product/767530387/22568716638
HP VIVO Y73S RAM 8/256 GB KAMERA 48MP LAYAR 6.44 INCI ORIGINAL GARANSI 1 TAHUN;Handphone & Aksesoris;1095500;0;0;0.0;0;2;STORE_S.7;Kab. Tangerang;22%;1400000;Tersedia;Toko Biasa;https://shopee.co.id/product/1731438411/45606876103
[BNIB] realme Note 80 4GB+8GB|64GB / 4GB+12GB|128GB Garansi Resmi 18 Bulan FREE BONUS (Desain Tangguh | 6300mAh Baterai | Proteksi ArmorShell™ | Jaminan Lancar Hingga 48-bulan | IP54 Layar Luas | HP tahan banting | Anti Lemot);Handphone & Aksesoris;1659999;191;317059809;5.0;55;73;Optima Gadget Store;Surabaya;45%;2999000;Tersedia;Toko Biasa;https://shopee.co.id/product/1628164033/52456687261
HP VIVO Y17 8/256GB Smartphone Garansi 1 Tahun;Handphone & Aksesoris;895000;34;30430000;5.0;14;25;PANDA PHONE88;Jakarta Barat;53%;1899000;Tersedia;Toko Biasa;https://shopee.co.id/product/1739183504/54358284570
[BARU] OPPO A6t Pro 5G Online Exclusive 8GB+256GB [Dimensity 6300 5G, 7000mAh Large Battery 80W SUPERVOOC, IP69 Water & Dust Resistance];Handphone & Aksesoris;4799000;438;2101962000;5.0;201;764;OPPO Indonesia Official Store;Tangerang;9%;5299000;Tersedia;Toko Biasa;https://shopee.co.id/product/13140292/58156356322
VIVO V40 LITE / RAM 8GB INTERNAL 256GB / FULLSET LENGKAP FULL ORIGINAL;Handphone & Aksesoris;1800000;0;0;0.0;0;18;Berkah Cell & Elektro;Kab. Cirebon;0%;1800000;Tersedia;Toko Biasa;https://shopee.co.id/product/1501636412/45454708660
IP 12 64/128 GB BERGARANSI/SECOND/LIKENEW;Handphone & Aksesoris;3946000;436;1720456000;4.8;104;436;Facai.iphone;Jakarta Barat;18%;4800000;Tersedia;Toko Biasa;https://shopee.co.id/product/371938851/28577052721
"VIVO Y17 RAM 8GB ROM 256GB 5000mAh 6.35"" Dual SIM Ponsel Pintar Original Fullset Garansi 24 Bulan";Handphone & Aksesoris;905000;414;374670000;4.8;192;457;Smart Hub Store;Jakarta Utara;55%;2000000;Tersedia;Toko Biasa;https://shopee.co.id/product/1105564980/48604801380
HP TECNO SPARK GO 1 4GB 128GB GARANSI RESMI;Handphone & Aksesoris;1049000;0;0;0.0;0;55;Raja Komputer;Kab. Tangerang;0%;1049000;Tersedia;Toko Biasa;https://shopee.co.id/product/1471354300/24641819799
HP A3S ram 4/128GB Garansi 1tahu;Handphone & Aksesoris;725000;921;667725000;4.7;309;316;king77.toko;Jakarta Utara;61%;1858000;Tersedia;Toko Biasa;https://shopee.co.id/product/767530387/53903892243
HP VIVO Y17S RAM 8/256 GB KAMERA 50 MP LAYAR 6.56 INCI ORIGINAL GARANSI 1 TAHUN;Handphone & Aksesoris;1000000;1;1000000;0.0;0;20;STORE_S.7;Kab. Tangerang;17%;1200000;Tersedia;Toko Biasa;https://shopee.co.id/product/1731438411/49806872576
iPhone13pro 128GB BH95+ WIFI ONLY  NO SIM IOS17 FULLSET MULUS SECOND GOOD CONDITIONS;Handphone & Aksesoris;3880000;28;108640000;4.8;4;17;RAJA SELULER;Jakarta Utara;22%;4980000;Tersedia;Mall;https://shopee.co.id/product/1624376408/53209698671
HP VIVO Y17 RAM 8 ROM 256GB Smartphone 4G LET 6.35 Inches Dual SlM Garansi 1Tahun;Handphone & Aksesoris;935000;3000;2805000000;4.7;1629;1413;PINDUODUO;Jakarta Utara;53%;2000000;Tersedia;Toko Biasa;https://shopee.co.id/product/22241652/41978145859
Xiaomi Redmi 15 (8GB/128GB) (8GB/256GB) Baterai besar 7000mAh dengan pengisian daya 33W | Ekspansi RAM hingga 16GB;Handphone & Aksesoris;2575000;82;211150000;5.0;40;67;Doran Wearable Authorized Store Makassar;Jakarta Pusat;0%;2575000;Tersedia;Toko Biasa;https://shopee.co.id/product/1443952758/40522820806
Hp  A31 RAM 8/256GB 4G LTE Garansi 1 Tahun Grosir;Handphone & Aksesoris;925000;4000;3700000000;4.8;2215;1658;PINDUODUO;Jakarta Utara;46%;1699999;Tersedia;Toko Biasa;https://shopee.co.id/product/22241652/41178377592
