Nama Produk,Kategori,Harga,Jumlah Terjual,Total Penjualan,Rating Produk,Nama Toko / Seller,Lokasi Toko,Jumlah Ulasan,Diskon (%),Harga Asli (sebelum diskon),Status Stok,"Badge Seller (Official Store, Star Seller, dll)",link produk,Sumber Platform,Kata Kunci,Halaman
INFINIX SMART 20 RAM (4/64) (4/128) GB GARANSI RESMI TERMURAH,100013 (ID),1849000,48,88752000,5,Terafone,Kab. Sleman,25,0,1849000,Tersedia,Mall,https://shopee.co.id/product/147741086/4144486633,Shopee,handphone,1
Samsung S24 Ultra Resmi Indonesia (SEIN),100013 (ID),13350000,145,1935750000,4.9,Sahabat_Gadget_,Jakarta Timur,84,0,13350000,Tersedia,Mall,https://shopee.co.id/product/778806255/26118845859,Shopee,handphone,1
[BARU] HUAWEI Mate 80 Pro Smartphone 16+512G l True-to-Colour Camera 2.0 l 2nd Gen Kunlun Glass l Smart AI | 100W,100013 (ID),16999000,165,2804835000,5,Huawei Official Store,Tangerang,88,0,19999000,Tersedia,Toko Biasa,https://shopee.co.id/product/39372120/50208390196,Shopee,handphone,1
iPhone 13 Pro Max ex iBox Beacukai IMEI Permanen Garansi 12 Bln 100% Original Second iPhone FULLSET 128GB 256GB 512GB 1TB,100013 (ID),10599000,1000,10599000000,4.9,Kitar Official Store,Jakarta Selatan,843,0,15478800,Tersedia,Mall,https://shopee.co.id/product/1437255344/26077462969,Shopee,handphone,1
iPhone 11 Pro Second Original | Sinyal Permanen | Fullset | Kondisi Mulus,100013 (ID),5370000,114,612180000,5, Cnieln Knlss Official Store,Jakarta Utara,21,0,8180000,Tersedia,Mall,https://shopee.co.id/product/1455285410/57701945130,Shopee,handphone,1
Samsung S25 Ultra Resmi Indonesia,100013 (ID),15890000,27,429030000,5,Sahabat_Gadget_,Jakarta Timur,15,0,15890000,Tersedia,Mall,https://shopee.co.id/product/778806255/26437486811,Shopee,handphone,1
SAMSUNG GALAXY A16 LTE RAM (8/128 GB) (8/256 GB) GARANSI RESMI TERMURAH,100013 (ID),2999000,135,404865000,5,Terafone,Kab. Sleman,60,0,3299000,Tersedia,Mall,https://shopee.co.id/product/147741086/21047930350,Shopee,handphone,1
"[BARU] OPPO A6t Pro 5G Online Exclusive 8GB+256GB [Dimensity 6300 5G, 7000mAh Large Battery 80W SUPERVOOC, IP69 Water & Dust Resistance]",100013 (ID),4799000,436,2092364000,5,OPPO Indonesia Official Store,Tangerang,195,0,5299000,Tersedia,Toko Biasa,https://shopee.co.id/product/13140292/58156356322,Shopee,handphone,1
Xiaomi 12 Resmi Indonesia,100013 (ID),3500000,1,3500000,5,Sahabat_Gadget_,Jakarta Timur,1,0,3500000,Tersedia,Mall,https://shopee.co.id/product/778806255/53459826097,Shopee,handphone,1
iPhone 13 PRO 128GB/256GB Second iBox BH 95%+ ORIGINAL 100% | MULUS NORMAL FULLSET Kondisi Perfect | GARANSI TOKO 1 TAHUN,100013 (ID),8795500,11,96750500,5,The Phone Hub,Tangerang Selatan,11,0,12999000,Tersedia,Mall,https://shopee.co.id/product/1707798442/50556971381,Shopee,handphone,1
